CPF,Tipo de Financiamento,Valor Financiado,Número de Parcelas,Valor da Parcela,Taxa de Juros (%),Tem Seguro?,Instituição Financeira,Data de Início,Data de Término,Número de Parcelas Pagas,Número de Parcelas em Atraso,Tem Reajuste Anual?,Valor da Entrada
809.247.156-85,Veículo,278356,145,1919.6965517241376,5.28,Não,da Rosa,01/08/2022,02/04/2028,70,6,Não,24051
854.926.713-91,Veículo,312487,309,1011.2847896440128,7.33,Não,Santos,26/11/2020,31/03/2026,252,0,Não,28826
280.463.917-78,Veículo,277433,216,1284.412037037037,9.4,Sim,Moraes,21/08/2023,16/01/2050,182,5,Sim,60745
721.835.649-46,Imóvel,523623,290,1805.596551724138,1.97,Sim,Mendonça,26/11/2021,05/07/2033,57,7,Sim,24550
312.407.695-80,Imóvel,843535,280,3012.625,1.75,Sim,da Rocha - EI,11/08/2022,26/01/2046,272,4,Sim,56562
951.246.308-33,Imóvel,534758,57,9381.719298245614,4.99,Sim,Cavalcante,02/07/2023,11/12/2054,15,10,Sim,74479
938.642.571-82,Veículo,317061,137,2314.3138686131388,8.83,Não,Cavalcante,16/07/2024,24/08/2047,3,4,Não,64547
530.198.426-89,Veículo,82332,298,276.28187919463085,8.48,Sim,Vasconcelos S.A.,08/04/2025,05/07/2028,132,3,Não,92621
723.584.169-91,Imóvel,516521,87,5937.022988505747,3.14,Sim,Pimenta e Filhos,24/09/2023,18/05/2033,29,5,Não,46425
714.690.385-01,Imóvel,691464,127,5444.59842519685,1.63,Sim,Brito Borges S.A.,13/08/2024,27/06/2035,40,0,Sim,90259
435.708.296-00,Imóvel,692890,232,2986.594827586207,2.25,Sim,Gomes Santos S/A,26/07/2022,18/08/2040,199,9,Sim,32500
479.368.015-10,Veículo,314476,114,2758.561403508772,8.77,Sim,Jesus,25/02/2023,30/11/2052,23,5,Sim,30132
710.495.328-05,Imóvel,997696,299,3336.7759197324413,4.33,Sim,Montenegro S.A.,13/10/2020,19/01/2049,276,3,Não,63112
632.079.814-96,Imóvel,971351,182,5337.093406593406,2.19,Sim,da Cruz,17/12/2023,29/03/2034,172,0,Não,11596
810.932.675-77,Imóvel,516246,232,2225.198275862069,1.81,Sim,Correia,25/11/2024,30/09/2027,31,9,Sim,92553
317.485.920-41,Imóvel,948114,358,2648.36312849162,4.03,Sim,Aragão,27/09/2022,29/04/2045,18,0,Não,75231
715.962.083-68,Veículo,366941,138,2658.9927536231885,5.86,Não,Mendonça Pimenta - ME,11/04/2025,28/06/2049,78,1,Sim,13827
839.125.704-50,Veículo,452511,31,14597.129032258064,6.11,Não,Oliveira Ltda.,08/02/2023,05/09/2046,29,12,Não,24329
512.390.674-61,Veículo,366254,278,1317.4604316546763,5.08,Sim,Macedo,09/04/2024,02/08/2039,37,11,Sim,44076
450.761.983-10,Veículo,269236,204,1319.7843137254902,7.09,Não,Rios,08/03/2022,19/02/2027,154,12,Sim,79219
416.275.809-30,Veículo,116680,335,348.2985074626866,6.5,Sim,Mendes e Filhos,24/09/2024,26/06/2049,5,12,Sim,70657
964.107.328-13,Veículo,62775,275,228.27272727272728,7.94,Sim,Costa,13/11/2023,19/12/2040,198,11,Não,46111
072.186.534-80,Imóvel,730441,359,2034.6545961002785,3.94,Sim,Moreira,15/04/2024,12/03/2034,85,2,Não,44503
720.319.856-12,Veículo,368200,182,2023.076923076923,8.56,Não,Fonseca,23/11/2024,22/03/2031,115,8,Não,74458
987.132.540-14,Imóvel,559167,300,1863.89,1.64,Sim,Sousa,11/03/2025,09/07/2029,100,3,Sim,89741
673.210.548-53,Veículo,313453,184,1703.5489130434785,6.41,Não,Pires S.A.,17/11/2023,22/03/2029,58,12,Não,58449
098.762.154-85,Veículo,251711,153,1645.1699346405228,8.54,Não,Cardoso S.A.,26/02/2023,27/08/2027,79,6,Não,89652
869.107.452-30,Veículo,308742,235,1313.7957446808512,6.69,Sim,Albuquerque da Mata S.A.,16/11/2020,22/08/2049,208,3,Sim,59650
205.816.347-80,Imóvel,766817,308,2489.6655844155844,4.22,Sim,da Rosa,25/03/2025,03/11/2051,15,1,Não,49986
186.520.943-06,Imóvel,713168,171,4170.5730994152045,3.23,Sim,Pimenta,03/02/2024,23/01/2052,148,11,Não,61080
194.836.257-00,Imóvel,697573,254,2746.350393700787,4.13,Sim,Ferreira,29/12/2021,25/03/2029,24,10,Sim,18147
714.369.205-07,Veículo,303586,166,1828.8313253012047,6.77,Não,Alves S/A,05/11/2023,13/11/2025,8,5,Sim,16386
082.147.359-04,Imóvel,966733,153,6318.516339869281,3.5,Sim,Novais S.A.,03/04/2022,27/08/2047,90,12,Sim,16749
794.315.682-09,Veículo,329460,22,14975.454545454546,5.9,Não,Moraes e Filhos,05/08/2023,19/02/2049,16,9,Sim,41783
863.472.195-73,Veículo,58592,167,350.8502994011976,6.73,Não,da Conceição Cardoso S.A.,30/10/2024,09/08/2053,167,2,Não,62176
584.216.903-70,Veículo,297148,349,851.4269340974212,9.19,Não,Aragão Monteiro S/A,08/04/2021,15/03/2030,336,6,Sim,92826
610.792.358-68,Veículo,85527,21,4072.714285714286,6.19,Não,Andrade Nunes e Filhos,05/03/2024,29/07/2050,1,12,Sim,98736
751.694.023-25,Veículo,369320,172,2147.2093023255816,7.83,Sim,Fogaça,02/06/2023,16/04/2035,49,7,Não,98484
749.250.813-14,Imóvel,591760,30,19725.33333333333,1.22,Sim,Pacheco,19/03/2021,25/12/2035,3,5,Sim,72971
064.372.185-17,Imóvel,969109,32,30284.65625,1.51,Sim,Aparecida,07/07/2020,15/04/2031,19,0,Não,51961
108.954.367-01,Imóvel,776466,222,3497.5945945945946,3.21,Sim,Vieira,11/03/2022,15/11/2026,17,0,Sim,41637
268.015.739-77,Imóvel,638174,83,7688.843373493976,1.91,Sim,Novaes Carvalho - EI,03/08/2023,30/12/2054,28,9,Sim,17224
247.159.083-79,Veículo,461313,197,2341.6903553299494,8.4,Sim,Novais,18/01/2024,03/01/2032,40,5,Não,30653
532.019.674-16,Veículo,140907,289,487.5674740484429,7.92,Não,Monteiro,26/03/2025,28/12/2025,161,9,Não,60004
356.914.287-64,Imóvel,668488,23,29064.695652173912,3.52,Sim,Correia,07/12/2023,31/03/2034,7,1,Não,77906
426.085.731-26,Veículo,364459,41,8889.243902439024,6.71,Sim,Vargas,19/02/2024,22/02/2031,34,9,Não,13556
907.142.386-78,Imóvel,571873,71,8054.549295774648,4.45,Sim,Sousa,06/12/2023,11/08/2046,59,2,Sim,51430
726.453.980-65,Veículo,75938,220,345.1727272727273,9.97,Sim,Sampaio,14/07/2024,09/10/2032,93,7,Não,67380
172.956.804-11,Veículo,105300,99,1063.6363636363635,6.63,Sim,Silveira,17/09/2021,22/08/2044,80,5,Não,10734
083.259.647-74,Imóvel,580794,165,3519.9636363636364,4.66,Sim,Ribeiro,20/01/2024,18/12/2026,139,7,Sim,94026
386.475.092-00,Imóvel,967677,303,3193.653465346534,1.95,Sim,das Neves,03/01/2023,29/02/2052,121,1,Sim,81746
936.072.158-12,Imóvel,974955,135,7221.888888888889,2.78,Sim,Garcia - ME,14/06/2021,02/02/2030,111,6,Não,41854
526.389.704-92,Imóvel,761717,96,7934.552083333333,1.82,Sim,Fogaça Cunha - EI,08/09/2022,13/09/2034,22,4,Sim,81959
857.294.160-67,Imóvel,549198,164,3348.768292682927,2.27,Sim,Cirino S/A,29/05/2022,29/08/2031,9,4,Não,39555
148.730.269-03,Veículo,189896,326,582.5030674846626,5.42,Sim,Silveira Rezende - ME,06/07/2023,05/11/2031,142,6,Não,53388
645.270.938-00,Veículo,133720,350,382.0571428571429,6.29,Não,Dias S.A.,11/06/2024,18/06/2042,341,5,Não,50815
294.783.615-46,Veículo,221578,271,817.630996309963,9.5,Sim,Borges,19/03/2021,26/11/2038,2,11,Sim,96772
701.546.923-52,Veículo,493202,269,1833.4646840148696,8.61,Não,Duarte,18/05/2024,13/09/2035,209,5,Não,26022
746.095.812-30,Imóvel,848452,106,8004.264150943396,2.21,Sim,Garcia,20/06/2021,16/04/2040,53,11,Sim,67093
293.548.067-83,Imóvel,525986,331,1589.0815709969788,4.71,Sim,Peixoto e Filhos,19/08/2023,19/05/2034,23,5,Não,93962
873.150.429-97,Imóvel,867760,312,2781.2820512820517,4.53,Sim,Lopes,20/02/2024,03/03/2028,135,11,Não,42840
756.928.304-00,Veículo,87742,28,3133.6428571428573,7.56,Sim,Novais Pires Ltda.,21/10/2021,16/02/2030,0,4,Sim,98541
945.876.321-55,Veículo,271583,253,1073.4505928853755,6.48,Sim,Abreu Cavalcante - EI,20/02/2021,04/01/2035,74,2,Sim,98447
035.917.682-86,Veículo,271277,229,1184.6157205240174,5.06,Sim,Campos,01/07/2022,31/05/2050,207,12,Sim,41215
036.217.459-80,Veículo,475454,63,7546.888888888889,8.67,Sim,Rodrigues,24/11/2022,09/04/2044,21,5,Não,71170
651.390.284-33,Imóvel,600835,82,7327.256097560976,2.02,Sim,Vieira,26/11/2020,03/05/2036,25,9,Sim,28205
832.150.764-62,Veículo,121803,349,349.0057306590258,6.58,Não,Garcia,13/03/2024,13/09/2045,68,3,Não,42610
357.402.619-61,Veículo,108547,168,646.1130952380952,6.86,Sim,Teixeira Macedo Ltda.,05/01/2024,24/09/2041,36,2,Sim,16216
521.063.849-98,Veículo,449680,296,1519.1891891891892,7.78,Não,Lima da Mota S/A,25/03/2023,02/12/2054,200,9,Sim,50749
493.012.687-87,Imóvel,601912,69,8723.36231884058,3.44,Sim,Monteiro Sampaio - EI,05/01/2021,04/10/2037,10,6,Não,36222
975.840.236-65,Veículo,420268,327,1285.223241590214,5.29,Não,Viana,09/06/2022,07/08/2032,249,11,Sim,13522
932.407.516-07,Imóvel,987125,236,4182.733050847458,4.46,Sim,Costa Sampaio - EI,26/01/2023,08/09/2036,222,1,Sim,84015
957.426.308-83,Veículo,425607,293,1452.5836177474405,8.43,Não,Andrade,05/07/2020,14/07/2028,89,3,Sim,39443
082.419.367-96,Veículo,107297,337,318.38872403560833,9.35,Não,Pastor,10/03/2025,10/09/2029,13,12,Sim,15935
406.287.153-07,Veículo,461803,43,10739.60465116279,9.27,Não,Rios S/A,02/09/2021,24/02/2038,33,11,Não,85213
520.386.794-10,Veículo,248862,105,2370.114285714286,6.24,Sim,da Cruz Viana - EI,11/06/2022,29/09/2044,31,6,Sim,25905
126.908.743-69,Veículo,321995,42,7666.547619047619,9.05,Sim,Machado S/A,08/02/2025,25/12/2028,8,7,Sim,83607
701.983.526-03,Imóvel,948547,222,4272.7342342342345,2.93,Sim,Gomes,17/12/2023,03/09/2050,140,2,Não,92750
180.423.657-80,Imóvel,839348,119,7053.344537815126,1.93,Sim,Albuquerque Lopes e Filhos,13/10/2020,08/10/2044,118,2,Não,12579
874.530.619-20,Veículo,485922,319,1523.2664576802508,6.96,Não,das Neves Almeida - EI,14/09/2021,08/03/2041,188,7,Não,13692
280.416.937-50,Imóvel,877883,74,11863.283783783783,4.1,Sim,Viana,12/02/2025,04/05/2054,68,0,Não,70582
387.419.025-05,Imóvel,771196,95,8117.852631578948,3.0,Sim,Brito,04/07/2024,09/02/2038,21,4,Sim,35073
576.948.201-01,Imóvel,612263,106,5776.066037735849,1.81,Sim,Silva Aragão - ME,21/02/2025,18/07/2029,77,12,Não,16280
456.928.071-49,Imóvel,731231,295,2478.749152542373,4.15,Sim,Silva,25/09/2021,02/06/2047,234,6,Sim,94807
067.549.138-00,Imóvel,510387,135,3780.6444444444446,2.4,Sim,Borges,13/07/2022,29/05/2051,111,10,Sim,78565
972.456.130-52,Veículo,301225,61,4938.11475409836,7.89,Sim,Moura,18/03/2021,11/02/2037,8,11,Não,50549
927.536.840-65,Imóvel,658374,245,2687.2408163265304,4.4,Sim,Cardoso - ME,02/01/2023,12/04/2047,146,1,Sim,43140
863.975.012-21,Veículo,415391,99,4195.868686868687,8.7,Não,Freitas,14/10/2020,28/12/2047,50,7,Sim,17588
948.025.136-15,Imóvel,949895,194,4896.365979381443,1.37,Sim,Lima,27/08/2023,24/04/2043,114,2,Sim,28049
936.018.275-30,Imóvel,669098,335,1997.307462686567,1.13,Sim,Melo - EI,15/10/2020,20/01/2038,258,5,Sim,95905
025.769.418-85,Veículo,374641,325,1152.7415384615383,9.31,Não,da Costa,26/08/2023,18/04/2035,131,0,Não,98123
201.376.894-03,Veículo,151053,227,665.431718061674,5.72,Não,da Mota Cavalcanti e Filhos,30/11/2023,11/07/2028,76,1,Sim,47282
023.587.946-00,Imóvel,765019,87,8793.32183908046,1.46,Sim,Caldeira Albuquerque - ME,26/11/2024,28/02/2027,25,11,Não,65340
047.186.325-44,Imóvel,783280,204,3839.607843137255,2.03,Sim,Novaes Cirino e Filhos,13/03/2021,12/10/2051,155,10,Sim,23874
761.054.289-01,Veículo,300187,194,1547.3556701030927,6.88,Sim,Mendonça Ramos - EI,20/01/2025,22/09/2046,179,5,Não,55131
768.320.951-12,Imóvel,973204,85,11449.458823529412,1.08,Sim,Melo Fogaça - ME,02/06/2021,21/12/2026,71,3,Sim,95723
098.654.173-75,Veículo,87653,16,5478.3125,8.04,Não,Porto,25/04/2025,31/03/2045,12,3,Não,49417
102.358.647-90,Veículo,424460,261,1626.2835249042146,8.89,Não,Almeida e Filhos,05/10/2022,12/09/2025,23,5,Não,93310
061.257.389-30,Veículo,375326,350,1072.36,7.52,Não,Silveira da Rosa S/A,21/06/2020,14/09/2033,179,1,Não,18980
859.237.601-77,Imóvel,714873,135,5295.355555555556,4.32,Sim,Dias Oliveira S.A.,28/07/2024,29/11/2032,96,6,Não,73773
469.830.715-57,Imóvel,567999,304,1868.4177631578948,4.32,Sim,Cunha,18/02/2024,14/06/2048,130,0,Sim,41579
246.951.087-20,Imóvel,674088,204,3304.3529411764707,2.02,Sim,Duarte e Filhos,20/12/2022,21/08/2047,120,1,Sim,16916
174.293.850-79,Imóvel,876695,259,3384.92277992278,1.14,Sim,Melo,23/05/2025,10/01/2038,96,9,Não,38828
602.751.894-49,Veículo,76216,197,386.88324873096445,9.38,Sim,Ribeiro e Filhos,16/07/2021,26/04/2032,16,5,Não,98586
468.059.127-76,Veículo,472743,105,4502.314285714286,6.35,Não,Cirino Ltda.,18/02/2021,08/04/2044,45,7,Sim,76845
172.369.508-40,Imóvel,789591,15,52639.4,4.75,Sim,Duarte Ltda.,15/02/2025,09/01/2036,7,5,Sim,40887
947.812.365-37,Veículo,352675,145,2432.2413793103447,8.89,Sim,Cavalcanti - EI,17/05/2025,03/12/2049,9,5,Não,64700
274.035.961-61,Veículo,288731,100,2887.31,6.71,Sim,Correia,28/10/2020,13/07/2036,36,4,Não,46723
601.832.497-04,Veículo,452587,124,3649.8951612903215,5.43,Não,Casa Grande Dias S/A,24/04/2022,04/06/2030,104,10,Não,81327
648.531.297-82,Veículo,402676,258,1560.759689922481,6.17,Sim,Nogueira,17/08/2021,26/06/2048,38,3,Sim,67569
698.401.257-02,Veículo,338005,215,1572.1162790697674,7.03,Não,Almeida,10/08/2023,20/06/2039,135,10,Sim,13087
624.971.305-07,Imóvel,585068,160,3656.675,2.96,Sim,da Paz Almeida Ltda.,13/11/2023,03/08/2046,60,12,Sim,22849
632.857.914-46,Veículo,236256,124,1905.290322580645,7.24,Sim,Santos,04/01/2021,13/06/2037,72,2,Sim,67120
567.832.490-00,Veículo,194789,220,885.4045454545454,5.75,Sim,Rezende,28/12/2022,01/08/2028,39,6,Sim,21003
745.026.893-00,Veículo,217083,354,613.228813559322,7.07,Não,Viana,17/08/2024,26/04/2037,169,4,Sim,20921
301.954.682-60,Imóvel,789506,288,2741.340277777778,1.08,Sim,Dias Ltda.,19/12/2020,06/12/2041,225,7,Não,46585
704.853.612-80,Imóvel,675833,137,4933.087591240876,4.16,Sim,Mendonça - EI,07/03/2021,25/06/2051,110,11,Sim,31471
538.670.142-80,Imóvel,798166,174,4587.16091954023,3.91,Sim,Vasconcelos - ME,21/03/2021,26/02/2034,3,0,Sim,72846
580.947.321-05,Veículo,361421,262,1379.469465648855,8.8,Sim,Martins,04/01/2023,09/02/2050,196,8,Sim,35714
427.650.381-71,Imóvel,929615,173,5373.49710982659,1.7,Sim,Rezende,14/07/2023,12/06/2043,140,8,Não,63232
406.351.289-42,Imóvel,887625,359,2472.4930362116997,3.05,Sim,Martins Alves S.A.,03/03/2024,26/10/2045,146,1,Sim,33948
215.743.860-26,Veículo,220111,74,2974.472972972973,5.75,Não,Costa,05/03/2021,13/03/2033,73,7,Não,75270
851.649.032-70,Veículo,53350,194,275.0,7.71,Sim,Ribeiro,12/01/2021,13/04/2030,67,0,Sim,98938
293.480.517-41,Imóvel,875270,33,26523.33333333333,2.38,Sim,Costa Ramos e Filhos,12/08/2020,03/04/2048,6,2,Sim,16719
632.841.795-00,Veículo,102271,33,3099.121212121212,8.58,Não,Guerra Gonçalves Ltda.,29/06/2023,16/06/2029,0,7,Não,58359
547.610.289-20,Imóvel,501105,84,5965.535714285715,1.31,Sim,Viana - EI,12/11/2021,23/07/2045,30,7,Sim,58100
847.239.651-73,Imóvel,932307,128,7283.6484375,4.42,Sim,Fogaça,16/06/2022,30/06/2031,125,12,Não,20126
297.468.013-50,Imóvel,591364,158,3742.8101265822784,3.98,Sim,Mendes Ltda.,15/08/2022,21/03/2044,150,10,Sim,99257
751.389.264-46,Veículo,493129,276,1786.6992753623188,7.79,Não,Barbosa,01/11/2023,06/05/2027,94,4,Não,30986
109.678.235-95,Imóvel,857314,175,4898.937142857143,2.94,Sim,Sá da Rocha S.A.,07/12/2022,12/08/2043,159,7,Não,30758
897.301.652-03,Imóvel,734905,317,2318.312302839117,4.8,Sim,Aragão,24/09/2022,27/04/2046,306,8,Não,87432
928.354.607-56,Imóvel,944526,360,2623.6833333333334,2.11,Sim,Rezende,03/04/2025,01/09/2050,117,9,Não,97814
529.374.086-56,Veículo,55036,76,724.1578947368421,9.39,Não,da Costa - EI,08/11/2022,07/07/2028,74,1,Sim,45036
819.430.672-87,Imóvel,913948,143,6391.244755244756,1.76,Sim,Peixoto,31/01/2021,29/10/2052,64,2,Não,68489
573.482.160-80,Veículo,186727,147,1270.251700680272,9.72,Sim,Cavalcante Souza - ME,02/08/2024,18/11/2033,47,0,Não,93598
614.853.079-10,Veículo,464555,181,2566.6022099447514,9.0,Sim,Machado das Neves - EI,23/05/2023,09/04/2054,30,5,Sim,37342
382.095.416-33,Imóvel,600861,128,4694.2265625,1.3,Sim,das Neves,27/01/2024,29/04/2042,16,12,Sim,61924
126.358.904-98,Veículo,167862,27,6217.111111111111,8.8,Sim,Câmara,17/07/2023,15/02/2031,8,2,Não,41629
904.386.172-31,Veículo,338700,70,4838.571428571428,7.59,Sim,Almeida - EI,20/09/2021,28/12/2035,1,3,Não,92893
871.964.023-40,Veículo,78896,350,225.4171428571429,9.07,Não,Machado S/A,12/12/2023,01/05/2054,205,11,Sim,29600
427.309.185-23,Veículo,265463,97,2736.7319587628867,6.79,Sim,Ribeiro,06/03/2021,05/01/2028,64,8,Sim,16447
650.938.247-47,Imóvel,963826,260,3707.023076923077,2.2,Sim,Camargo,17/09/2024,11/07/2049,68,6,Sim,17553
306.247.195-61,Veículo,451163,49,9207.408163265309,7.24,Sim,das Neves Ltda.,23/01/2021,04/01/2055,5,7,Não,72521
185.039.647-75,Veículo,133153,205,649.5268292682927,8.0,Não,Farias,02/09/2023,22/08/2025,160,10,Não,57385
439.250.861-70,Imóvel,597507,260,2298.103846153846,2.5,Sim,Sampaio,25/03/2021,11/02/2036,178,4,Sim,18781
491.732.056-99,Imóvel,551778,296,1864.1148648648648,1.68,Sim,Nunes,28/05/2020,22/10/2039,242,6,Sim,86516
932.745.806-00,Veículo,364482,277,1315.8194945848377,5.74,Não,Barros,12/12/2021,17/05/2030,170,2,Não,25988
560.812.374-35,Veículo,342829,180,1904.605555555556,8.03,Sim,Almeida S/A,29/09/2024,13/03/2040,90,8,Sim,60409
504.312.796-16,Imóvel,885770,214,4139.112149532711,1.84,Sim,Pereira S/A,25/03/2022,30/06/2046,43,1,Sim,98066
648.213.975-28,Veículo,190997,90,2122.188888888889,9.16,Não,Borges,27/12/2021,06/06/2050,58,11,Não,41790
982.630.715-77,Veículo,171087,115,1487.713043478261,8.81,Sim,Duarte,11/03/2021,19/10/2031,115,6,Não,85052
627.589.043-65,Imóvel,663577,230,2885.117391304348,3.08,Sim,Rocha,02/11/2021,18/04/2048,68,7,Não,12930
628.073.519-21,Veículo,89957,207,434.5748792270532,7.32,Não,da Rosa S/A,11/09/2020,15/09/2039,73,5,Sim,43984
830.426.591-51,Imóvel,533355,302,1766.0761589403974,3.53,Sim,Silveira,05/06/2022,09/05/2046,71,5,Sim,25458
916.437.820-96,Veículo,164627,305,539.760655737705,7.87,Sim,Montenegro Pereira S/A,12/08/2024,11/07/2049,208,10,Sim,27061
245.871.690-30,Veículo,87422,72,1214.1944444444443,7.71,Não,Montenegro Montenegro S/A,06/06/2024,12/10/2028,1,2,Sim,71388
760.145.398-75,Veículo,182845,246,743.2723577235772,6.62,Sim,Souza Garcia Ltda.,26/06/2021,13/03/2044,63,6,Não,23144
485.096.721-30,Imóvel,830051,268,3097.205223880597,3.17,Sim,Sampaio,15/11/2024,31/10/2054,50,12,Sim,44259
514.837.069-66,Veículo,188630,222,849.6846846846847,8.93,Não,Câmara - EI,15/09/2024,09/12/2051,69,10,Sim,40736
