CPF	Tipo de Seguro	Seguradora	Valor da Cobertura	Número de Sinistros	Valor do Prêmio Mensal
750.316.984-20	Vida	Cassiano	997617	2	390
213.987.645-82	Residencial	Fogaça	128950	2	1153
847.091.653-00	Residencial	Sousa	374157	1	345
918.257.063-95	Residencial	Brito Borges - EI	206169	0	405
283.610.759-68	Automóvel	Nunes	448382	4	1195
027.169.584-67	Vida	Leão	842609	3	496
684.021.739-69	Residencial	Barros S/A	120768	1	1077
905.187.342-50	Residencial	Nunes	324702	0	140
614.829.075-85	Residencial	da Cruz	402776	0	407
789.530.246-92	Residencial	Siqueira	241332	4	1290
915.340.728-88	Automóvel	Barros S/A	218404	0	173
637.405.928-00	Vida	Aparecida - ME	788674	1	272
694.381.705-10	Automóvel	Fonseca	74837	4	913
687.420.591-94	Vida	Oliveira Sousa S/A	656547	2	903
714.968.520-01	Automóvel	Porto	335838	5	1120
143.729.085-04	Automóvel	Novais - ME	96599	4	921
709.852.136-12	Automóvel	Azevedo Sales Ltda.	442796	0	630
904.623.187-96	Automóvel	Costa - ME	81082	4	1056
658.491.237-09	Vida	Dias	715624	4	1156
302.164.598-42	Automóvel	Oliveira Ltda.	450920	5	628
179.350.624-80	Automóvel	da Costa Ltda.	52108	3	943
934.560.781-10	Residencial	Freitas	416787	0	652
294.305.718-50	Residencial	Monteiro Marques S/A	497915	2	827
948.027.316-04	Vida	Sampaio	707042	3	470
290.458.136-70	Automóvel	Azevedo	75934	0	229
389.075.246-29	Residencial	Melo	113415	4	1106
391.804.765-20	Vida	Gomes	705845	5	929
375.294.681-46	Vida	Gonçalves Nunes S.A.	899249	5	1184
041.976.538-75	Residencial	Vargas	443894	1	207
930.417.258-60	Vida	Lima Cunha Ltda.	933586	2	737
651.379.802-77	Automóvel	das Neves	201137	5	812
351.927.860-02	Automóvel	Gonçalves	303351	2	1040
289.315.746-73	Automóvel	Ferreira Barros - EI	97769	4	1216
579.143.820-60	Automóvel	Marques	91414	3	678
180.937.425-14	Automóvel	Barbosa	483487	4	686
302.719.865-30	Residencial	Borges Nogueira S.A.	297432	3	1029
416.820.359-05	Automóvel	Abreu Cassiano - EI	116111	1	227
581.462.093-51	Automóvel	da Costa Barros Ltda.	405689	1	368
907.413.258-88	Automóvel	Nunes	61765	0	309
695.807.123-95	Residencial	Marques	286104	0	278
425.180.739-14	Vida	Siqueira Viana Ltda.	586698	5	1121
174.098.365-39	Vida	Pimenta Ltda.	638238	0	868
785.461.092-49	Residencial	Peixoto Aragão S.A.	185006	4	1372
014.853.692-15	Vida	Siqueira	826103	1	588
940.375.681-01	Automóvel	Ribeiro Abreu - ME	319787	5	1081
831.450.627-35	Automóvel	Câmara e Filhos	245287	5	1391
723.945.861-09	Vida	Monteiro Barbosa e Filhos	926749	3	547
176.902.483-22	Automóvel	Costa - EI	62174	0	775
125.648.039-89	Automóvel	Moraes	71647	5	915
594.827.613-91	Vida	Borges Moura S.A.	756821	3	1293
456.087.123-07	Automóvel	Rezende	328957	2	1165
583.471.092-14	Automóvel	Macedo	56945	0	469
829.751.034-41	Vida	Moraes S/A	615607	0	101
497.310.825-14	Vida	Duarte	579496	2	856
548.769.301-39	Vida	Porto	742028	4	743
827.596.034-74	Automóvel	Viana	499771	4	576
971.456.380-10	Vida	Campos Ltda.	820084	1	1045
302.169.458-60	Vida	Moura	800019	3	816
345.719.826-82	Vida	Brito S/A	530611	2	414
587.609.231-21	Vida	Silveira	999695	0	754
368.914.702-69	Vida	Pires - ME	860950	1	794
754.193.206-06	Vida	Garcia Almeida S.A.	741176	5	1163
476.839.021-87	Residencial	Moura S/A	494200	1	315
587.049.612-85	Automóvel	da Mota	421541	0	868
598.072.316-12	Vida	Campos - EI	735054	5	1077
198.067.254-76	Vida	Gonçalves Viana - EI	550793	0	629
024.138.965-89	Residencial	Freitas S/A	147072	3	557
064.719.253-52	Automóvel	Carvalho Nogueira e Filhos	78140	4	605
031.895.246-70	Vida	Cavalcanti e Filhos	864032	4	1228
965.721.034-80	Vida	Viana	851450	0	150
546.179.280-49	Vida	Vieira	615380	5	786
213.967.045-07	Automóvel	Cavalcanti	163367	0	170
106.857.234-53	Automóvel	da Paz	451087	4	635
936.402.187-87	Residencial	Pimenta - ME	114249	0	543
539.240.716-16	Residencial	Peixoto	135480	4	832
482.301.597-50	Automóvel	Vasconcelos Cassiano Ltda.	413976	0	952
018.526.947-85	Automóvel	da Paz Pastor - ME	446115	3	503
256.091.378-02	Vida	da Rocha	664456	2	1193
325.014.698-60	Vida	Garcia Teixeira S.A.	603525	5	1090
943.750.682-56	Automóvel	Câmara	449248	0	155
236.958.104-24	Vida	da Mata	911616	0	789
170.328.459-32	Residencial	Castro S.A.	142323	1	684
935.724.168-09	Vida	Barros	961238	4	869
089.613.452-06	Residencial	Machado	428129	2	1091
742.603.915-34	Automóvel	Fernandes	75127	5	1171
963.548.271-09	Residencial	Marques	219111	1	886
194.357.062-07	Vida	da Cunha Novaes - EI	521350	1	846
289.346.510-24	Automóvel	Machado	390296	0	214
496.201.385-89	Automóvel	Brito Pimenta S/A	419004	1	1079
463.158.207-35	Vida	Guerra	922140	2	1082
068.152.937-77	Residencial	Cunha	368123	0	181
523.918.706-12	Vida	Costela Ltda.	963587	2	1059
780.962.431-87	Vida	Viana	558064	1	265
957.341.208-04	Residencial	Oliveira e Filhos	408018	4	843
462.837.195-46	Vida	Farias	501920	3	1134
782.430.159-14	Automóvel	Nogueira	447567	2	1158
607.351.824-26	Automóvel	Câmara	359380	3	1151
463.891.270-22	Automóvel	Correia S/A	359311	5	751
450.637.891-10	Vida	Ramos Ltda.	926420	0	364
183.527.964-37	Vida	Abreu	873498	1	336
018.457.632-62	Residencial	Sá da Conceição - ME	159774	4	1004
593.207.184-23	Vida	Fonseca S/A	995539	2	1067
765.243.190-52	Automóvel	da Costa Macedo e Filhos	101170	1	475
630.752.198-86	Residencial	Barros	457732	0	505
078.924.365-29	Residencial	Sampaio Dias S.A.	488255	1	1091
743.196.825-64	Vida	da Mota Pacheco S.A.	801496	1	1009
361.482.905-70	Vida	Viana	699138	5	814
013.579.428-50	Residencial	Marques S/A	351842	3	402
579.236.401-06	Vida	Silva	805893	4	1062
102.978.654-20	Residencial	Vasconcelos	405876	2	1065
785.024.916-01	Residencial	Moraes e Filhos	205869	5	1155
236.847.901-50	Automóvel	da Luz Pires e Filhos	191589	0	595
738.694.502-74	Automóvel	da Mata Machado S/A	96897	5	1444
485.719.032-04	Automóvel	Abreu S/A	298024	1	328
805.163.794-10	Automóvel	Pinto e Filhos	246992	0	851
693.250.781-12	Residencial	Rodrigues	182449	4	1156
218.395.647-09	Automóvel	Andrade	311338	5	667
283.156.740-80	Vida	da Mota	524953	4	805
156.743.290-52	Residencial	Campos Cassiano S.A.	360601	0	445
947.651.820-02	Vida	Camargo S/A	811340	3	907
960.324.581-05	Residencial	Moraes - EI	236125	1	399
243.185.679-82	Vida	Moraes Ltda.	715186	2	596
843.527.910-32	Vida	Viana	986754	0	509
156.207.934-43	Residencial	Azevedo	438692	5	1296
247.381.596-82	Residencial	Borges Guerra - ME	263270	2	452
726.854.930-00	Automóvel	Camargo	326601	0	428
067.294.853-29	Residencial	Leão	122597	1	417
764.258.019-30	Vida	Marques	973938	4	641
319.867.502-21	Residencial	Sá	451112	3	656
148.576.923-09	Automóvel	Montenegro	321777	4	1384
576.498.320-74	Residencial	Aparecida	104865	2	574
872.630.591-77	Residencial	Silva e Filhos	266991	5	707
018.546.237-53	Automóvel	Gomes	102481	4	905
341.862.790-04	Residencial	Fogaça Duarte - ME	85813	2	1188
208.317.946-31	Residencial	Nogueira S.A.	428762	3	742
624.801.975-49	Residencial	Pimenta - ME	191075	5	1471
789.314.506-48	Automóvel	Moraes Cassiano S/A	155484	5	1259
265.981.740-58	Automóvel	Caldeira	121137	4	1197
823.519.670-03	Residencial	Moreira	409539	3	808
048.312.967-40	Residencial	Monteiro S/A	81361	5	1043
372.519.480-79	Vida	da Mota - EI	932755	5	1330
971.820.346-03	Residencial	Pacheco e Filhos	70586	4	578
613.058.974-39	Vida	Ferreira Cassiano Ltda.	913818	4	1035
950.472.618-67	Vida	Santos	890268	4	576
268.351.947-82	Automóvel	Pastor - ME	254435	0	651
039.275.841-50	Vida	Costela	728004	2	804
567.984.013-84	Vida	da Mata S/A	520871	5	1057
958.430.761-48	Automóvel	Aparecida - EI	133404	4	1245
938.261.570-95	Automóvel	Gonçalves	163600	2	552
684.012.597-11	Residencial	Fonseca	230864	4	682
785.031.426-35	Automóvel	Jesus Carvalho e Filhos	290883	2	1033
762.539.108-68	Vida	Macedo - EI	502831	3	582
517.432.069-25	Residencial	Vasconcelos Andrade e Filhos	387442	4	1175
145.283.967-00	Residencial	Cirino	216519	2	1161
589.734.016-10	Automóvel	Nascimento	385204	4	1159
469.138.570-39	Residencial	Pacheco Novais e Filhos	95981	3	921
139.867.524-55	Residencial	Brito	226451	4	691
041.985.236-06	Vida	Nascimento Ltda.	892556	1	287
293.541.876-09	Vida	Castro - EI	715203	3	1164
948.752.061-94	Automóvel	Cassiano	91240	1	1034
672.935.104-70	Vida	Cavalcante e Filhos	587131	2	1063
725.814.693-82	Vida	Leão	762476	1	986
045.289.361-51	Vida	Viana	722320	3	1149
548.701.362-44	Vida	Casa Grande Ltda.	711829	0	709
617.920.834-40	Automóvel	Fogaça	232577	3	977
452.378.196-64	Automóvel	Cardoso	224420	5	1380
123.675.409-34	Automóvel	da Mota Cunha - ME	251782	4	643
671.329.854-00	Automóvel	Leão	267269	3	826
340.157.692-52	Vida	Santos	742206	2	1055
792.580.361-40	Automóvel	Teixeira Fonseca - ME	433435	1	647
023.197.654-25	Vida	Farias Machado e Filhos	876983	5	1376
287.341.695-55	Vida	Albuquerque	852632	4	1336
562.840.913-89	Automóvel	Cardoso	406439	1	630
132.706.489-87	Vida	Moraes Viana e Filhos	544795	1	755
367.241.859-55	Residencial	Cirino	177846	5	1016
174.680.539-01	Automóvel	da Luz	114339	1	1053
629.503.714-34	Automóvel	da Mata	414229	4	631
274.860.953-00	Residencial	Pacheco	490275	0	300
083.765.291-02	Residencial	da Luz	463954	5	859
583.602.941-51	Vida	Cavalcante - ME	774022	4	573
956.230.714-06	Residencial	Azevedo	364613	0	102
065.892.731-03	Automóvel	Azevedo	213585	5	1047
190.268.437-04	Vida	Fernandes Sales Ltda.	723351	4	1241
086.729.541-49	Automóvel	Nascimento e Filhos	63761	5	1029
325.490.176-25	Residencial	Dias S.A.	340177	1	328
862.134.905-15	Residencial	Marques e Filhos	196666	3	848
213.465.879-73	Vida	Sales	829264	1	560
910.732.584-32	Residencial	Alves e Filhos	381178	3	549
087.546.132-80	Automóvel	Dias das Neves e Filhos	161295	2	432
401.329.857-05	Residencial	Vieira	168922	0	218
175.896.032-95	Residencial	Silveira - EI	215767	2	1055
630.258.174-53	Automóvel	Viana	286278	5	659
614.738.529-19	Vida	Araújo Ltda.	945131	3	1033
645.837.102-08	Residencial	Gomes	467465	1	1029
532.847.961-00	Vida	Melo	998830	3	1023
150.248.673-35	Vida	Freitas	543131	1	867
328.416.097-31	Automóvel	da Costa - EI	476494	5	1170
423.810.957-05	Residencial	Borges da Cruz e Filhos	232256	4	907
563.084.729-56	Residencial	Melo - EI	210494	0	715
321.647.095-43	Automóvel	Carvalho S/A	93104	5	1157
132.785.409-05	Vida	Silva	910945	0	503
678.391.405-48	Vida	Barros	976212	5	743
183.697.025-03	Vida	Carvalho	929184	2	984
645.379.201-06	Vida	Pires	758552	1	545
406.831.729-13	Automóvel	Moraes	428260	5	834
087.596.241-67	Vida	Farias	759944	1	727
628.731.045-62	Automóvel	Cavalcante	139144	5	1004
593.207.841-32	Automóvel	Pinto S.A.	139704	1	277
931.687.042-96	Vida	Costa Ltda.	557352	1	598
704.983.261-87	Vida	Moraes Nogueira S.A.	857828	3	1036
162.908.734-31	Automóvel	da Rocha - EI	251819	1	520
815.042.763-53	Automóvel	Albuquerque e Filhos	415656	5	848
479.816.023-78	Vida	Viana S/A	525407	4	672
934.017.285-04	Automóvel	Souza Ltda.	134364	4	504
419.832.675-46	Vida	Sampaio	883435	0	256
716.408.529-30	Automóvel	Pimenta	100184	3	1242
945.261.738-19	Residencial	Fogaça	259320	4	794
481.593.762-19	Automóvel	Pacheco Cavalcanti - ME	309689	5	1040
534.960.781-20	Automóvel	Novaes	468534	1	955
081.629.453-42	Automóvel	Vargas da Cunha S.A.	110063	2	309
012.357.869-86	Vida	Vasconcelos Souza - ME	832593	2	572
752.149.036-34	Automóvel	Abreu	367578	0	212
501.943.768-93	Residencial	Azevedo Lima S.A.	215019	4	1223
917.460.832-04	Automóvel	Araújo	427795	3	1274
865.021.743-53	Vida	Fonseca da Costa S/A	670938	5	1079
264.913.578-64	Vida	Guerra - ME	588565	1	881
104.532.698-42	Automóvel	da Cruz	454923	5	1476
510.972.438-50	Automóvel	Correia S/A	116758	3	479
351.708.629-03	Residencial	Borges e Filhos	491984	1	621
425.769.310-06	Vida	Almeida Barros Ltda.	898470	3	1255
497.018.526-30	Vida	Nunes	595889	2	434
473.508.216-62	Vida	Gonçalves Aparecida - EI	597085	1	1099
293.675.104-70	Vida	Freitas Cassiano - ME	611222	4	1253
548.736.129-00	Residencial	Pereira Casa Grande - EI	276004	2	1062
568.294.017-20	Vida	da Mota	805457	3	539
305.962.471-25	Vida	Machado	838762	5	917
357.841.062-44	Residencial	Cunha e Filhos	271358	2	560
596.028.471-58	Vida	Araújo	690978	2	494
150.742.863-44	Vida	Leão	526311	3	427
147.259.836-91	Vida	Aparecida	531366	0	977
356.297.180-02	Residencial	Marques Lima S/A	150315	3	1116
619.754.032-07	Vida	Sousa Nascimento S.A.	902458	1	687
789.542.301-05	Vida	Nunes	703821	0	440
859.673.014-10	Vida	Santos	671823	4	1201
810.346.792-87	Residencial	Jesus	225690	1	980
827.693.105-77	Automóvel	Sales	121220	2	1087
691.258.407-11	Automóvel	Macedo S.A.	201193	5	1099
304.975.182-79	Vida	Mendonça S/A	781786	0	425
497.365.182-64	Automóvel	Andrade e Filhos	480710	1	465
184.267.950-30	Vida	Cunha	766092	2	1137
601.572.498-67	Automóvel	Ramos - ME	239959	2	840
437.198.650-10	Vida	Moura	825709	1	640
986.351.720-86	Residencial	Caldeira - EI	458991	1	617
256.193.870-03	Vida	Aparecida	636933	3	1274
156.847.023-17	Automóvel	Sá	254629	2	331
452.706.183-62	Vida	Ribeiro Fogaça - ME	837233	0	386
290.431.867-40	Residencial	Fernandes S.A.	433503	5	911
497.568.230-38	Vida	Cassiano	530131	2	317
276.351.489-82	Residencial	Nogueira	242748	3	1114
892.643.750-74	Residencial	Vargas	143161	0	613
901.468.273-50	Vida	Silva	930735	0	243
097.163.254-52	Vida	Jesus Fonseca S/A	566236	2	489
475.923.806-92	Automóvel	Ferreira Brito S/A	399755	5	1150
907.263.481-04	Residencial	Macedo	269142	4	852
874.961.302-22	Residencial	Casa Grande Mendes S.A.	381569	1	601
698.023.547-83	Vida	Ferreira	804519	3	1048
513.986.402-98	Vida	Câmara	521908	3	975
438.729.106-04	Residencial	Machado	101728	2	1015
713.504.289-14	Vida	Dias Ltda.	911232	3	501
085.394.712-05	Automóvel	Duarte Andrade S.A.	89554	3	1129
703.159.268-21	Vida	Lopes - EI	785183	4	1159
150.498.763-20	Residencial	Casa Grande	115029	5	862
895.143.267-09	Automóvel	Pimenta	326779	3	619
693.572.418-09	Automóvel	Porto da Costa e Filhos	198857	4	528
523.709.641-70	Automóvel	Moreira	426683	3	1114
189.704.532-88	Vida	Novaes	665785	2	1046
936.580.217-21	Residencial	Peixoto da Paz S.A.	109032	5	766
902.874.513-05	Residencial	Farias Silva Ltda.	154282	5	1214
961.547.032-52	Automóvel	Nogueira Sousa - EI	301239	2	996
608.954.123-06	Vida	da Costa	945974	2	897
493.706.851-20	Residencial	Santos	242254	0	926
062.147.598-01	Residencial	Caldeira	133494	4	641
513.680.749-01	Residencial	Rezende	305492	4	1080
158.237.049-41	Vida	Moura S/A	577501	0	568
871.205.936-68	Residencial	Vasconcelos	246718	4	1306
752.384.901-60	Residencial	Câmara	383385	4	1065
965.432.701-52	Residencial	Macedo	440728	5	1192
316.720.498-22	Residencial	Freitas S.A.	151225	5	1445
479.135.806-66	Automóvel	Pereira Cavalcanti e Filhos	213281	1	608
960.251.348-98	Residencial	Teixeira Costa S/A	352598	5	675
524.931.687-55	Residencial	Fonseca - ME	245038	2	828
109.276.385-68	Automóvel	Viana S.A.	82224	0	423
513.048.972-14	Residencial	Azevedo	288072	0	323
734.908.216-96	Residencial	Pastor Andrade S/A	178888	3	660
582.134.079-97	Automóvel	Ferreira Peixoto - ME	430878	1	784
789.235.461-19	Vida	Melo Viana Ltda.	787976	5	1294
357.912.068-95	Residencial	Castro	329259	1	783
715.846.920-49	Vida	da Conceição S.A.	795612	1	645
748.923.561-82	Automóvel	Teixeira S.A.	490149	0	281
290.863.415-51	Residencial	Barros	133678	5	923
816.425.039-24	Vida	Cirino Vieira S.A.	894659	2	611
479.530.162-06	Vida	Melo Gomes - ME	624333	4	552
615.280.793-02	Automóvel	Pacheco S/A	70205	0	434
538.192.764-91	Residencial	Brito Silva S/A	339057	2	1027
457.901.286-02	Vida	Moreira	878502	2	541
275.961.438-73	Vida	Brito Ltda.	645073	2	827
062.945.183-42	Vida	Rezende - ME	817691	4	790
072.513.689-86	Automóvel	Abreu e Filhos	145393	3	463
913.287.456-19	Vida	da Rosa das Neves Ltda.	873246	3	563
253.687.149-55	Automóvel	Dias	303628	4	1226
267.954.081-67	Residencial	Costa	331918	2	646
695.082.417-30	Residencial	Araújo	64324	2	1159
943.715.802-97	Vida	da Mata	509934	0	542
591.230.486-89	Vida	Gomes S.A.	691903	2	740
375.129.860-68	Automóvel	Duarte	241435	2	1091
802.145.769-49	Automóvel	Cavalcante e Filhos	306611	0	986
246.038.971-03	Residencial	Freitas Barros - EI	159219	4	526
579.421.368-09	Residencial	Nogueira S.A.	447637	3	1239
364.875.291-09	Automóvel	Santos	372280	0	189
985.326.741-19	Residencial	Garcia	116799	2	898
458.062.391-60	Vida	Moraes - ME	739529	2	752
512.307.689-12	Vida	Ramos	683559	0	207
293.764.508-92	Residencial	Souza	416430	3	578
397.514.862-46	Residencial	Pereira e Filhos	132379	1	281
372.896.105-12	Vida	Camargo	738467	2	1139
263.041.597-06	Automóvel	Borges	456223	0	208
384.291.750-32	Residencial	Ferreira	361239	3	1038
601.957.432-61	Automóvel	da Paz S.A.	384787	5	958
098.376.512-02	Residencial	Cirino	410205	0	247
875.016.943-20	Automóvel	Fernandes S.A.	256025	5	1480
531.642.708-44	Vida	Porto e Filhos	959268	3	443
481.953.602-89	Residencial	Novaes	279318	0	175
504.987.362-29	Automóvel	Novais Martins S/A	187862	0	320
027.453.619-61	Vida	Sampaio	633011	4	501
536.197.240-16	Vida	Jesus	825187	3	1225
912.407.386-50	Automóvel	Araújo Novais S.A.	157801	4	1091
421.950.736-16	Automóvel	Dias - EI	75403	5	629
594.026.387-92	Vida	Costa S.A.	673094	4	1374
602.158.973-40	Vida	Azevedo	674618	5	733
278.049.563-47	Automóvel	Albuquerque Sá S/A	283746	0	332
725.043.861-17	Residencial	Pinto	371048	1	726
015.628.394-89	Residencial	Duarte	52723	5	914
415.039.762-70	Automóvel	Cunha	479519	3	1113
649.105.723-25	Residencial	Brito	61209	1	1013
629.813.457-37	Automóvel	Andrade	373602	4	842
976.231.540-52	Vida	Costa	607956	3	1300
682.479.510-02	Vida	Oliveira Ltda.	545805	3	1146
096.837.251-12	Vida	Abreu Jesus Ltda.	769559	0	440
158.649.320-51	Automóvel	Aragão	431959	3	744
280.796.351-02	Vida	Nogueira	911008	3	904
647.981.035-00	Vida	Moreira - EI	761815	1	1085
863.105.972-21	Vida	Rocha	931362	1	681
405.168.793-75	Vida	Guerra	621057	0	388
790.416.582-11	Residencial	Araújo - EI	355257	3	1255
147.320.658-80	Vida	Carvalho	598439	4	664
249.308.157-97	Residencial	Dias - ME	400977	1	270
501.637.892-40	Vida	Albuquerque e Filhos	546021	4	1380
460.329.178-78	Automóvel	Nunes	410853	3	1152
685.049.213-60	Vida	Moreira	791075	3	440
639.704.512-99	Vida	Pires Dias S.A.	925278	2	1080
457.082.639-38	Automóvel	Albuquerque	111092	5	815
430.596.218-70	Residencial	Castro	489741	5	1023
392.506.174-61	Vida	Novaes Abreu e Filhos	773427	0	872
561.749.028-11	Residencial	Fogaça Ltda.	85354	2	305
741.538.962-09	Automóvel	Pastor Novais Ltda.	121070	2	393
817.463.052-07	Residencial	Gomes - ME	125003	0	525
592.834.106-70	Vida	Azevedo	513292	4	1398
093.812.576-12	Automóvel	Vargas	352345	1	441
064.821.597-02	Residencial	Borges	257282	0	792
653.819.204-15	Residencial	Novaes	135599	3	910
873.542.916-09	Residencial	Correia	74025	4	1073
869.102.745-20	Vida	Fernandes	665380	3	797
325.804.179-23	Residencial	Alves	461230	5	934
609.451.283-98	Vida	Jesus	750578	4	575
236.485.710-44	Residencial	Garcia	59658	2	1165
907.325.641-07	Residencial	Sampaio da Luz - EI	345317	4	818
853.296.701-95	Residencial	Rodrigues	61402	0	293
618.709.542-11	Residencial	Silva Carvalho Ltda.	250128	2	691
712.683.049-13	Automóvel	Camargo	446182	3	630
789.253.146-73	Automóvel	Silva	312099	0	280
032.985.716-95	Vida	Correia Ltda.	579295	1	419
182.960.345-06	Vida	Alves	532966	4	976
283.451.976-55	Residencial	Cassiano	121483	4	643
345.761.982-46	Automóvel	Cirino	69271	5	618
816.043.957-10	Vida	Castro	749154	2	978
089.753.216-30	Vida	Castro Lima S/A	555600	1	475
097.184.532-88	Residencial	Almeida	301705	1	643
432.198.560-98	Residencial	das Neves Teixeira Ltda.	297527	0	731
018.946.275-20	Residencial	Moura	161946	2	888
618.405.239-05	Residencial	Garcia da Mata S.A.	330559	4	609
178.465.239-37	Automóvel	Montenegro Azevedo S/A	216424	3	787
269.574.081-67	Automóvel	Andrade	95810	4	986
456.073.218-35	Automóvel	Almeida Dias S/A	433048	5	1068
437.608.295-38	Residencial	Machado	117891	5	1477
596.704.132-06	Vida	Rezende da Costa - EI	995077	4	911
219.375.864-64	Residencial	Souza Albuquerque - EI	294243	2	1091
965.347.012-43	Residencial	Silva S.A.	409633	5	858
087.152.349-32	Residencial	Andrade	431903	1	705
840.193.567-93	Residencial	Marques	113398	0	331
